Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;Maashorst;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
19;CV ruimte;CV combiketel;Nefit HR;Inlaatcombinatie;;1;;;1;a;;;;
31;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
32;Buiten via entree;Buitenkraan;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
20;CV ruimte;Vulpunt;;;;1;1;;;a;;;;
43;Washok;Wm;;Contr. KK;EA;1;1;;;a;;;;
;Robijn 2;;;;;;;;;;;;;
21;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
22;;Buitenkraan;;;EA;1;1;;;a;;;;
23;Keuken;Mengventiel;;2 * contr. KK;EA;1;1;;;a;;;;
;;;;Koude poort en warme poort;;;;;;;;;;
38;;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
24;Keuken;Mengventiel;;Koude poort en warme poort;EA;1;1;;;a;;;;
24a;Keuken;Vaatwasser;;;EA;1;1;;;a;;;;
25;CV ruimte;CV combiketel;Nefit HR;Inlaatcombinate;;1;;;1;a;;;;
40;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
25a;CV ruimte;Vulkraan;;;;1;1;;;a;;;;
44;Washok;Wm;;Contr. KK;EA;1;1;;;a;;;;
;Saffier 1;;;;;;;;;;;;;
26;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
27;;Aansluiting buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
28;Keuken;Mengventiel koudwater;;;EA;1;1;;;a;;;;
;;;;Koude poort en warme poort;;;;;;a;;;;
46;;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
29;Keuken;Mengventiel warmwater;;;EA;1;1;;;a;;;;
30;Keuken;Vaatwasser;;;EA;1;1;;;a;;;;
31;CV ruimte ;CV combiketel;Nefit HR;Inlaatcombinatie;;1;;;1;a;;;;
48;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
49;Buiten via entree;Buitenkraan;;Beluchterkraan;DA;;;;;;;;;
32;Vulpunt;;;;EA;1;1;;;a;;;;
41;Washok;Wm;;Contr. KK;EA;1;1;;;a;;;;
;Saffier 2;;;;;;;;;a;;;;
33;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;Keerklep vervangen ;;
34;Buiten;Buitenkraan;;;EA;1;1;;;a;;;;
35;Keuken ;Mengventiel koudwater;;2 * contr. KK;EA;1;1;;;a;;;;
;;;;Koude poort en warme poort;;;;;;a;;;;
55;;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;1;1;;;;;;;
36;Keuken;Mengventiel warmwater;;;EA;1;1;;;a;;;;
37;Keuken;Wasmachine kraan;;;EA;1;1;;;a;;;;
38;CV ruimte ;CV combiketel;Nefit HR;Inlaatcombinatie;;1;;;1;a;;;;
57;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;1;1;;;;;;;
38a;CV ruimte;Vulkraan;;Inlaatcombinatie;;1;;;1;a;;;;
42;Washok;Wm;;Contr. KK;EA;1;1;;;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;37;1;13;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;51;;;;;;;;
