Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
42;kelder installatie ruimte;BSH gezamenlijk;EA;;;1;;;;V;;;;
43;begane grond parkhof 2;boiler inlaatcombi;EA;;;1;;;;V;;;;
44;begane grond parkhof 3;boiler inlaatcombi;EA;;;1;;;;V;;;;
45;begane grond parkhof 4;boiler inlaatcombi;EA;;;1;;;;V;;;;
46;begane grond parkhof 5;boiler inlaatcombi;EA;;;1;;;;V;;;;
47;begane grond parkhof 6;boiler inlaatcombi;EA;;;1;;;;V;;;;
48;begane grond parkhof 7;boiler inlaatcombi;EA;;;1;;;;V;;;;
49;figuurhof verzorgingsruimte;boiler inlaatcombi;EA;boven plafond;;1;;;;V;;;;
50;figuurhof verzorgingsruimte;circulatie leiding;EA;boven plafond;;1;;;;V;;;;
51;figuurhof 1;boiler inlaatcombi;EA;;;1;;;;V;;;;
52;begane grond figuurhof 2;boiler inlaatcombi;EA;;;1;;;;V;;;;
53;begane grond figuurhof 3;boiler inlaatcombi;EA;;;1;;;;V;;;;
54;begane grond figuurhof 4;boiler inlaatcombi;EA;;;1;;;;V;;;;
55;begane grond figuurhof 5;boiler inlaatcombi;EA;;;1;;;;V;;;;
56;begane grond figuurhof 6;boiler inlaatcombi;EA;;;1;;;;V;;;;
57;begane grond muziek;boiler inlaatcombi;EA;;;1;;;;V;;;;
58;begane grond werkkast;boiler inlaatcombi;EA;;;1;;;;V;;;;
59;café allerhand;tapkraan;DA/EB;;;1;;;;V;;;;
60;café allerhand;tapkraan;DA/EB;;;1;;;;V;;;;
61;bg gang tussen kantine en cafe;boiler inlaatcombi;EA;;;1;;;;V;;;;
62;bg gang tussen kantine en cafe;circulatieleiding;EA;;;1;;;;V;;;;
63;copy ruimte;boiler inlaatcombi;EA;;;1;;;;V;;;;
64;personeel kantine;koffieautomaat;DA/EB;;;1;;;;V;;;;
65;personeel kantine;watercooler;EA;;;1;;;;V;;Keerklep geplaatst;;
66;centrale keuken;koffieautomaat;DA/EB;portioneer ruimte;;1;;;;V;;;;
67;centrale keuken;doseerapparaat;DA/EB;portioneer ruimte;;1;;;;V;;;;
68;centrale keuken;doseerapparaat;DA/EB;ontvangstruimte keuken;;1;;;;V;;;;
69;centrale keuken;steamer;DA/EB;;;1;;;;V;;;;
70;centrale keuken;steamer 2;DA/EB;;;1;;;;V;;;;
71;centrale keuken;steamer 3;DA/EB;;;1;;;;V;;;;
72;centrale keuken;steamer 3;EA;;;1;;;;V;;;;
73;centrale keuken;kw kraan;DA/EB;;;1;;;;V;;;;
;Flat begeleidingscentrum;;;;;;;;;;;;;
76;behandelkamer 92 bg;inlaatcombi;EA;;;1;;;;V;;;;
77;behandelkamer 92 bg;inlaatcombi;EA;;;1;;;;V;;;;
78;kamer 93;boiler inlaatcombi;EA;achter voorzet kast;;1;;;;V;;;;
79;gang koffieautomaat;kw kraan;DA/EB;;;1;;;;V;;;;
80;dienst BA 87;kw leiding waterfilter;EA;;;1;;;;V;;;;
81;1e verdieping; kantoor 157;boiler inlaatcombi;EA;;;1;;;;V;;;;
82;1e verdieping; gang koffieautomaat;kw kraan;DA/EB;;;1;;;;V;;;;
83;1e verdieping; washok;kw kraan;DA/EB;;;1;;;;V;;;;
84;2e verdieping; gang koffieautomaat;kw kraan;DA/EB;;;1;;;;V;;;;
85;2e verdieping; gang koffieautomaat;kw kraan;DA/EB;;;1;;;;V;;;;
86;3e verdieping; gang koffieautomaat;kw kraan;DA/EB;;;1;;;;V;;;;
87;3e verdieping; washok opberghok;kw leiding;EA;;;1;;;;V;;;;
88;4e verdieping; washok opberghok;kw kraan;EB;;;1;;;;V;;;;
89;4e verdieping; washok opberghok;kw kraan;EB;;;1;;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;0;0;0;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;84;;;;;;;;
