Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Object;;De Hondsberg centraal terrein Oisterwijk;;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;013-5232830;;;;;;;;;;;
Adres;;Hondsberg 5;Contactpersoon:;Dhr N van Velzen;;;;;;;;;;;
Woonplaats;;Oisterwijk;Datum opname:;Week 26, 2015;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
163;Hal nabij toiletten;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
181;Technische dienst;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
45;;Boiler;Daalderop mono koper 80 L;Inlaatcombinatie;;1;;;1;;a;;;;
;;;70418045;;;;;;;;;;;;
46;;Ontharder;Gulligan 2008;Contr. Onderbreker met verschil drukzone;BA;1;;;;1;a;;;;
46a;;Aansluitleiding naar boiler;;Contr. KK;EA;1;1;;;;a;;;;
;Kleine Villa;;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;;
47;Installatie ruimte kast;Tapkraan;;Contr. KK;EA;1;1;;;;a;;;;
48;;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
48a;;Uitgaand naar kas;;Contr. KK;EA;1;1;;;;a;;;;
48b;;Aftakking naar buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
50;Keuken;Tapkraan WMK;;Contr. KK;EA;1;1;;;;a;;;;
52;Pantry 1e verdieping;Close in boiler;Daalderop 10;Inlaatcombinatie;;1;;;1;;a;;;;
;;;;;;;;;;;a;;;;
52a;Zolder;Boiler;NIBE PCU DDS;Inlaatcombinatie;;1;;;1;;a;;;;
52b;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
52c;;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
;Grote Villa;;;;;;;;;;;;;;
53;Kelder;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
53a;;Aftakkiing naar buitenkraan kelderdeur;;Contr. KK;EA;1;1;;;;a;;;;
;1e verdieping;;;;;;;;;;a;;;;
54;Pantry;Koffie apparaat;;Contr. KK;EA;1;1;;;;a;;;;
55;;Close in Boiler;Daalderop 10;Inlaatcombinatie;;1;;;1;;a;;;;
55a;;Vaatwasser;;;EA;1;;;;;a;;;;
;Blokhut;;;;;;;;;;;;;;
59;Keuken;Close in Boiler;Daalderop 10;Inlaatcombinatie;;1;;;1;;a;;;;
60;Buiten;Buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
61;Kinderboerderij;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
62;Keuken;Close in Boiler;Daalderop 10;Inlaatcombinatie;;1;;;1;;a;;;;
63;Buiten;Buitenkraan 1;;Contr. KK;EA;1;1;;;;a;;;;
63d;;Opslagruimte;;Contr. KK;EA;1;1;;;;a;;Keerklep geplaatst;;
;Brughuisje;;;;;;;;;;;;;;
180;;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
180a;;Aftakking naar CV vulpunt ;;Contr. KK;EA;1;1;;;;a;;;;
180b;;Aftakking naar buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
64;Keuken;Ketel;Atag ;Inlaatcombinatie;;1;;;1;;a;;;;
66;Tuinhuizen;Binnenkomst;put;Contr. KK;EA;1;1;;;;a;;;;
69;Buiten;Aansluitleiding buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
69a;;Tappunt 1;;Contr. KK;EA;1;1;;;;a;;;;
69b;;;;Contr. KK;EA;1;1;;;;a;;;;
70;Groene Barak;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
71;;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;In meter put;;
73;Tuinschuur;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
76;Gang nabij avonddienst-ruimte;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
77;Gang nabij wasruimte;Brandslanghaspel;;Contr. KK;EA;1;1;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;a;;;;
78;Wasruimte;Aansluitleiding wasmachine 1 + 2;;Contr. KK;EA;1;1;;;;a;;;;
;;;;Contr. KK;EA;1;1;;;;;;;;
81;Dames toilet;Aansluitleiding buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
;Appartement;;;;;;;;;;;;;;
82;Buitenkraan;Buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 1 en 2;;;;;;;;;;;;;;
75;Beukenhorst;Binnenkomst;CV ruimte;Contr. KK;EA;1;1;;;;a;;;;
93;CV ruimte;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
93a;;;;Voeding kw;EA;1;1;;;;a;;Keerklep vervangen (Ø28 cap);;
93b;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
93c;;;;Inlaat-combi;EA;1;1;;;;a;;;;
95;Buiten;Buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
97;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 1;;;;;;;;;;;;;;
98;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 1;;;;;;;;;;;;;;
99;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Eikenhorst;;;;;;;;;;;;;;
1;Gang nabij avonddienst-ruimte;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
2;Gang nabij wasruimte;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
3;Wasruimte;Aansluitleiding wasmachine 1 + 2;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;Stopkraan vervangen;;
;;;;;;;;;;;a;;;;
8;;Industr. Vaatwasser met dosering;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;Keerklep vervangen;;
;;;;;;;;;;;;;;;
10;Installatieruimte;Watermeter;;Contr. KK;EA;1;1;;;;a;;;;
11;;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
12;;Boiler;Remeha ELGE 20SFP400/01.76;Inlaatcombinatie (losse delen);;1;1;;;;a;;;;
13;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
;;;;Contr. KK;EA;1;1;;;;;;;;
;Bosplein 2.1 en 2.2;;;;;;;;;;;;;;
1;Gang nabij toilet;Brandslanghaspel;;;;1;;;;;a;;;;
2;Keuken;Vaatwasser;;;EA;1;1;;;;a;;;;
3;Werkkast;Buitenkraan;;;EA;1;1;;;;a;;;;
4;Gang nabij toilet;Brandslanghaspel;;;;1;;;;;a;;;;
229;Bosplein 3.1 en 3.2;Keuken mengventiel ww;;;EA;1;1;;;;a;;;;
20;Buiten;Buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
22;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;;a;;;;
22a;Keuken;Keuken mengventiel ww;;;EA;1;1;;;;a;;;;
;Bosplein 3.1;;;;;;;;;;;;;;
26;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 3.2;;;;;;;;;;;;;;
27;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 4.1 en 4.2;;;;;;;;;;;;;;
28;Buiten;Buitenkraan;;Contr. KK;EA;1;1;;;;a;;;;
30;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;;a;;;;
30a;;Mengventiel ww;;;EA;1;1;;;;a;;;;
;Bosplein 4.1;;;;;;;;;;;;;;
34;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Bosplein 4.2;;;;;;;;;;;;;;
35;Gang nabij toilet;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
36;Opslagkast;KW toevoerleiding naar Mengventiel;;Contr. KK;EA;1;1;;;;a;;Spoelleiding;;
37;;WW toevoerleiding naar Mengventiel;;Contr. KK;EA;1;1;;;;a;;;;
39;;Aansluitleiding buitenkraan (kruipruimte);;Contr. KK;EA;1;1;;;;a;;;;
107;Schoolweg 5;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
108;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
109;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
110;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
111;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
112;Badkamer 1;Wasmachine;;Contr. KK;EA;1;1;;;;a;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;1e verdieping;;;;;;;;;;;;;;
113;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
114;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
185;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;Keerklep vervangen (Ø15 knel);;
115;Schoolweg 6;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
116;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
116B;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
117;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
118;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
119;Badkamer 1;Wasmachine;;Contr. KK;EA;1;1;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;;
120;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
120b;;Aansluitleiding CV vulpunt en doucheruimte;;Contr. KK;EA;1;1;;;;a;;Afsluiter geplaatst  (Ø15 knel);;
121;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
186;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
122;Schoolweg 7;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
123;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
125;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
;;;;Contr.KK ;EA;1;1;;;;;;;;
127;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
129;Badkamer 1;Wasmachine;;Contr. KK;EA;1;1;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;;
130;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
131;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
187;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
;;;;;;;;;;;;;;;
132;Schoolweg 8;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
133;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
135;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;;;;;
137;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
139;Badkamer 1;Wasmachine;;Contr. KK;EA;1;1;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;;
140;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
140b;;Aansluitleiding CV vulpunt en doucheruimte;;Contr. KK;EA;1;1;;;;a;;Afsluiter geplaatst (Ø15 knel);;
141;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
188;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
142;Schoolweg 9;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
143;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
145;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
;;Buitenkraan;;Contr.KK ;EA;1;1;;;;;;;;
147;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
148;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
149;Badkamer 1;Wasmachine;;Contr. KK;EA;;1;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;;
150;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
151;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
;;;;;;;;;;;;;;;
189;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
152;Schoolweg 10;Binnenkomst;;Contr. KK;EA;1;1;;;;a;;;;
;Begane grond;;;;;;;;;;;;;;
153;Buiten bij entree;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
155;Buiten tuin;Aansluitleiding buitenkraan;;Contr.KK ;EA;1;1;;;;a;;;;
;;;;Contr.KK ;EA;1;1;;;;;;;;
157;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
158;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
159;Badkamer 1;Wasmachine;;Contr. KK;EA;1;1;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;;
160;Installatie ruimte;CV vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
161;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;;a;;;;
190;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
176;Buiten op terrein nabij hoofdgebouw;Aansluitleiding buitenkraan via kelder TD;;Contr. KK;EA;1;1;;;;a;;;;
;PI School;;;;;;;;;;;;;;
178;Binnenkomst 1;Binnenkomst 1;;Contr. KK;EA;1;1;;;;a;;;;
179;Binnenkomst 2;Binnenkomst 2;;Contr. KK;EA;1;1;;;;a;;;;
;LVGJ ;11-15;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;;
1;Installatieruimte 0.17;Watermeter Qn 5;;Contr. KK;EA;1;1;;;;a;;;;
2;;Boiler 1 en 2;NIBE;Inlaatcombinatie (toevoerleiding boiler 1);;1;;;1;;a;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3;;Circulatieleiding (perszijde pomp);Deelring 1;Contr. KK;EA;1;1;;;;a;;;;
4;;Circulatieleiding (perszijde pomp);Deelring 2;Contr. KK;EA;1;1;;;;a;;;;
5;;Circulatieleiding (perszijde pomp);Deelring 3;Contr. KK;EA;1;1;;;;a;;Keerklep vervangen ;;
6;;Circulatieleiding (perszijde pomp);Deelring 4;Contr. KK;EA;1;1;;;;a;;;;
7;;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
8;;Kraan;;;EA;1;;;;;a;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;160;8;19;;;;;;
;;;;;;;;;;;;;;;
;;;;Totaal aantal ;;186;;;;;;;;;
